catalog_product_id,canonical_name,category,subcategory,preferred_brand,preferred_variant,image_strategy,source_type,target_filename,image_prompt,status
cheddar-cheese-block,Cheddar Cheese Block,Dairy & Eggs,Cheese,,,EXISTING,existing_asset,/images/products/cheddar-cheese-block.jpg,,existing
cream-cheese,Cream Cheese,Dairy & Eggs,Cheese,,,EXISTING,existing_asset,/images/products/cream-cheese.jpg,,existing
shredded-tex-mex-cheese,Shredded Tex-Mex Cheese,Dairy & Eggs,Cheese,,Tex-Mex,EXISTING,existing_asset,/images/products/shredded-cheese-tex-mex.jpg,,existing
butter,Butter,Dairy & Eggs,Dairy,,,EXISTING,existing_asset,/images/products/butter.jpg,,existing
greek-yogurt,Greek Yogurt,Dairy & Eggs,Dairy,,,EXISTING,existing_asset,/images/products/yogurt.jpg,,existing
sour-cream,Sour Cream,Dairy & Eggs,Dairy,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/sour-cream.jpg,"generic unbranded package or container (no real or invented brand markings). Sour Cream, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
yogurt,Yogurt,Dairy & Eggs,Dairy,,,EXISTING,existing_asset,/images/products/yogurt.jpg,,existing
conestoga-brown-free-range-eggs,Conestoga Brown Free-Range Eggs,Dairy & Eggs,Eggs,Conestoga,"Brown, Free-Range",EXISTING,existing_asset,/images/products/conestoga-brown-free-range-eggs.jpg,,existing
2-lactose-free-milk,2% Lactose-Free Milk,Dairy & Eggs,Milk,,,EXISTING,existing_asset,/images/products/lactantia-or-neilson-2-lactose-free-milk.jpg,,existing
earth-s-own-original-almond-milk,Earth's Own Original Almond Milk,Dairy & Eggs,Milk,Earth's Own,Original,EXISTING,existing_asset,/images/products/earths-own-original-almond-milk.jpg,,existing
