catalog_product_id,product_name,brand,category,subcategory,desired_image_query,preferred_source,source_url,image_status,local_storage_filename
parmesan-cheese,Parmesan Cheese,,Dairy & Eggs,Cheese,"Parmesan Cheese, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/parmesan-cheese.jpg
cottage-cheese,Cottage Cheese,,Dairy & Eggs,Dairy,"Cottage Cheese, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/cottage-cheese.jpg
sour-cream,Sour Cream,,Dairy & Eggs,Dairy,"Sour Cream, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/sour-cream.jpg
neilson-2-milk-2-l,Neilson 2% Milk 2 L,,Dairy & Eggs,Milk,"Neilson 2% milk carton, Canadian dairy, product photo, white background",Licensed stock photography or in-house photography,,not_acquired,/images/products/neilson-2-milk.jpg
neilson-2-milk-4-l,Neilson 2% Milk 4 L,,Dairy & Eggs,Milk,"Neilson 2% milk carton, Canadian dairy, product photo, white background",Licensed stock photography or in-house photography,,not_acquired,/images/products/neilson-2-milk.jpg
prepared-salad,Prepared Salad,,Deli & Prepared,Prepared Meals,"Prepared Salad, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/prepared-salad.jpg
rotisserie-chicken,Rotisserie Chicken,,Deli & Prepared,Prepared Meals,"Rotisserie Chicken, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/rotisserie-chicken.jpg
soup,Soup,,Deli & Prepared,Prepared Meals,"Soup, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/soup.jpg
coffee,Coffee,,Drinks,Coffee,"Coffee, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/coffee.jpg
juice-boxes,Juice Boxes,,Drinks,Kids Drinks,"Juice Boxes, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/juice-boxes.jpg
decaf-tea,Decaf Tea,,Drinks,Tea,"Decaf Tea, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/decaf-tea.jpg
iced-tea,Iced Tea,,Drinks,Tea,"Iced Tea, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/iced-tea.jpg
bottled-water,Bottled Water,,Drinks,Water,"Bottled Water, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/bottled-water.jpg
all-purpose-cleaner,All-Purpose Cleaner,,Household,Cleaning,"All-Purpose Cleaner, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/all-purpose-cleaner.jpg
bathroom-cleaner,Bathroom Cleaner,,Household,Cleaning,"Bathroom Cleaner, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/bathroom-cleaner.jpg
disinfecting-wipes,Disinfecting Wipes,,Household,Cleaning,"Disinfecting Wipes, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/disinfecting-wipes.jpg
glass-cleaner,Glass Cleaner,,Household,Cleaning,"Glass Cleaner, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/glass-cleaner.jpg
lysol,Lysol,Lysol,Household,Cleaning,"Lysol Lysol, product photo, white background",Manufacturer or retailer product photography (licensed/permitted use only),,not_acquired,/images/products/lysol.jpg
mr-clean,Mr. Clean,Mr. Clean,Household,Cleaning,"Mr. Clean Mr. Clean, product photo, white background",Manufacturer or retailer product photography (licensed/permitted use only),,not_acquired,/images/products/mr-clean.jpg
toilet-bowl-cleaner,Toilet Bowl Cleaner,,Household,Cleaning,"Toilet Bowl Cleaner, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/toilet-bowl-cleaner.jpg
dish-soap,Dish Soap,,Household,Dishwashing,"Dish Soap, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dish-soap.jpg
dishwasher-pods,Dishwasher Pods,,Household,Dishwashing,"Dishwasher Pods, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dishwasher-pods.jpg
dishwasher-soap,Dishwasher Soap,,Household,Dishwashing,"Dishwasher Soap, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dishwasher-soap.jpg
air-filters,Air Filters,,Household,Home Supplies,"Air Filters, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/air-filters.jpg
batteries-aa,Batteries AA,,Household,Home Supplies,"Batteries AA, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/batteries-aa.jpg
batteries-aaa,Batteries AAA,,Household,Home Supplies,"Batteries AAA, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/batteries-aaa.jpg
light-bulbs,Light Bulbs,,Household,Home Supplies,"Light Bulbs, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/light-bulbs.jpg
fabric-softener,Fabric Softener,,Household,Laundry,"Fabric Softener, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/fabric-softener.jpg
