catalog_product_id,target_filename,source,adobe_stock_asset_id,license_type,licensed_via
watermelon,/images/products/watermelon.jpg,Adobe Stock,310547373,standard,asset_license_and_download_stock
aluminum-foil,/images/products/aluminum-foil.jpg,Adobe Stock,174817483,standard,asset_license_and_download_stock
new-york-strip,/images/products/new-york-strip.jpg,Adobe Stock,334588979,standard,asset_license_and_download_stock
celery,/images/products/celery.jpg,Adobe Stock,221039086,standard,asset_license_and_download_stock
garlic,/images/products/garlic.jpg,Adobe Stock,198464869,standard,asset_license_and_download_stock
grape-tomatoes,/images/products/grape-tomatoes.jpg,Adobe Stock,116263613,standard,asset_license_and_download_stock
lemons,/images/products/lemons.jpg,Adobe Stock,476602816,standard,asset_license_and_download_stock
barbecue-sauce,/images/products/barbecue-sauce.jpg,Adobe Stock,73332951,standard,asset_license_and_download_stock
dijon-mustard,/images/products/dijon-mustard.jpg,Adobe Stock,1217998715,standard,asset_license_and_download_stock
toast-bread,/images/products/toast-bread.jpg,Adobe Stock,191812258,standard,asset_license_and_download_stock
beef-roast,/images/products/beef-roast.jpg,Adobe Stock,266281298,standard,asset_license_and_download_stock
burgers,/images/products/burgers.jpg,Adobe Stock,305232653,standard,asset_license_and_download_stock
cod-fillet,/images/products/cod-fillet.jpg,Adobe Stock,87881796,standard,asset_license_and_download_stock
italian-sausage,/images/products/italian-sausage.jpg,Adobe Stock,320537818,standard,asset_license_and_download_stock
shrimp,/images/products/shrimp.jpg,Adobe Stock,286645170,standard,asset_license_and_download_stock
stewing-beef,/images/products/stewing-beef.jpg,Adobe Stock,299437294,standard,asset_license_and_download_stock
asparagus,/images/products/asparagus.jpg,Adobe Stock,106196175,standard,asset_license_and_download_stock
avocados,/images/products/avocados.jpg,Adobe Stock,268594555,standard,asset_license_and_download_stock
cantaloupe,/images/products/cantaloupe.jpg,Adobe Stock,80008052,standard,asset_license_and_download_stock
cauliflower,/images/products/cauliflower.jpg,Adobe Stock,463567706,standard,asset_license_and_download_stock
cherry-tomatoes,/images/products/cherry-tomatoes.jpg,Adobe Stock,100472072,standard,asset_license_and_download_stock
corn-on-the-cob,/images/products/corn-on-the-cob.jpg,Adobe Stock,156264657,standard,asset_license_and_download_stock
english-cucumber,/images/products/english-cucumber.jpg,Adobe Stock,219251716,standard,asset_license_and_download_stock
green-beans,/images/products/green-beans.jpg,Adobe Stock,179345206,standard,asset_license_and_download_stock
green-onion,/images/products/green-onion.jpg,Adobe Stock,517087421,standard,asset_license_and_download_stock
